YEAR;TMAX;TMIN;TMED
1973;16.8;5.5;10.6
1973;12.3;7;9.6
1973;9;2.5;4.5
1973;13.1;2.6;6.3
1973;19.8;1.4;10.5
1973;16.6;6;9.8
1973;13.4;1;6.3
1973;21.4;2;10.8
1973;22.9;8;13.4
1973;21.9;2.9;12.1
1973;22.1;7.7;14
1973;22.2;6.7;13.2
1973;12;8.2;9
1973;15;0.7;6.5
1973;7;1.5;3.7
1973;14;-1.6;6
1973;13.5;2.7;8.4
1973;17.6;4;11
1973;19.5;4.1;12.1
1973;15.7;7.4;10.1
1973;16.9;4.3;11.1
1973;17.5;1.4;9.2
1973;9.7;1;4.4
1973;14.9;-2.6;6.3
1973;13.7;3.5;6.9
1973;7.5;-2.5;3.4
1973;14.4;3;7.4
1973;15.5;1.2;8
1973;22.7;4.2;13.4
1973;23.2;7.3;13.5
1973;24;4.5;14
1973;25;7.5;15.8
1973;24.8;8.5;15.4
1973;13.9;7;8.1
1973;13.3;2;6
1973;15;-1;10.1
1973;14;-0.1;7.4
1973;15;3.7;9.9
1973;18;6.9;12.2
1973;19.3;5;12.3
1973;19.7;9.5;14.3
1973;16;12;13.1
1973;16.4;13.3;13
1973;13.4;7.2;9.9
1973;12.7;5.1;9.1
1973;17.8;1.5;10.9
1973;20;5.8;13.7
1973;21;11.5;15.3
1973;15.6;8.4;10.3
1973;15;6.2;10.2
1973;14.6;4.4;14.6
1973;21.4;4;11.7
1973;25;5;15.1
1973;26.6;7.6;18.2
1973;25;12;18.5
1973;24.7;13;17.4
1973;17.2;6.6;10.7
1973;20.4;6.4;15
1973;20.9;13.3;16
1973;16;11.7;12.1
